Date and time; Temperature °C; RH %; DewPoint °C; CO2 ppm
9-3-2023 15:26:15;"21,241";"26,215";" 1,124";"510,000"
9-3-2023 15:26:30;"21,241";"26,196";" 1,114";"510,000"
9-3-2023 15:26:45;"21,241";"26,196";" 1,132";"510,000"
9-3-2023 15:27:00;"21,230";"26,178";" 1,096";"510,000"
9-3-2023 15:27:15;"21,241";"26,215";" 1,124";"524,000"
9-3-2023 15:27:30;"21,241";"26,196";" 1,114";"524,000"
9-3-2023 15:27:45;"21,241";"26,196";" 1,114";"524,000"
9-3-2023 15:28:00;"21,241";"26,196";" 1,114";"524,000"
9-3-2023 15:28:15;"21,241";"26,178";" 1,105";"524,000"
9-3-2023 15:28:30;"21,261";"26,154";" 1,109";"524,000"
9-3-2023 15:28:45;"21,241";"26,178";" 1,105";"524,000"
9-3-2023 15:29:00;"21,261";"26,154";" 1,109";"524,000"
9-3-2023 15:29:15;"21,241";"26,178";" 1,105";"491,000"
9-3-2023 15:29:30;"21,261";"26,178";" 1,122";"491,000"
9-3-2023 15:29:45;"21,261";"26,154";" 1,109";"491,000"
9-3-2023 15:30:00;"21,261";"26,154";" 1,109";"491,000"
9-3-2023 15:30:15;"21,261";"26,178";" 1,122";"491,000"
9-3-2023 15:30:30;"21,241";"26,154";" 1,092";"491,000"
9-3-2023 15:30:45;"21,261";"26,154";" 1,109";"491,000"
9-3-2023 15:31:00;"21,261";"26,154";" 1,117";"491,000"
9-3-2023 15:31:15;"21,261";"26,135";" 1,099";"506,000"
9-3-2023 15:31:30;"21,261";"26,135";" 1,099";"506,000"
9-3-2023 15:31:45;"21,261";"26,135";" 1,099";"506,000"
9-3-2023 15:32:00;"21,271";"26,099";" 1,088";"506,000"
9-3-2023 15:32:15;"21,261";"26,099";" 1,080";"506,000"
9-3-2023 15:32:30;"21,261";"26,099";" 1,080";"506,000"
9-3-2023 15:32:45;"21,271";"26,074";" 1,075";"506,000"
9-3-2023 15:33:00;"21,271";"26,099";" 1,088";"506,000"
9-3-2023 15:33:15;"21,281";"26,099";" 1,097";"502,000"
9-3-2023 15:33:30;"21,261";"26,074";" 1,067";"502,000"
9-3-2023 15:33:45;"21,261";"26,099";" 1,080";"502,000"
9-3-2023 15:34:00;"21,261";"26,099";" 1,080";"502,000"
9-3-2023 15:34:15;"21,261";"26,099";" 1,080";"502,000"
9-3-2023 15:34:30;"21,271";"26,135";" 1,099";"502,000"
9-3-2023 15:34:45;"21,261";"26,135";" 1,099";"502,000"
9-3-2023 15:35:00;"21,261";"26,099";" 1,080";"502,000"
9-3-2023 15:35:15;"21,261";"26,099";" 1,080";"498,000"
9-3-2023 15:35:30;"21,241";"26,099";" 1,063";"498,000"
9-3-2023 15:35:45;"21,271";"26,099";" 1,088";"498,000"
9-3-2023 15:36:00;"21,261";"26,135";" 1,099";"498,000"
9-3-2023 15:36:15;"21,271";"26,099";" 1,088";"498,000"
9-3-2023 15:36:30;"21,261";"26,099";" 1,080";"498,000"
9-3-2023 15:36:45;"21,261";"26,074";" 1,067";"498,000"
9-3-2023 15:37:00;"21,271";"26,074";" 1,075";"498,000"
9-3-2023 15:37:15;"21,261";"26,074";" 1,067";"517,000"
9-3-2023 15:37:30;"21,261";"26,099";" 1,080";"517,000"
9-3-2023 15:37:45;"21,241";"26,099";" 1,063";"517,000"
9-3-2023 15:38:00;"21,241";"26,056";" 1,040";"517,000"
9-3-2023 15:38:15;"21,261";"26,038";" 1,047";"517,000"
9-3-2023 15:38:30;"21,261";"26,056";" 1,057";"517,000"
9-3-2023 15:38:45;"21,261";"26,056";" 1,057";"517,000"
9-3-2023 15:39:00;"21,241";"26,038";" 1,030";"517,000"
9-3-2023 15:39:15;"21,241";"26,056";" 1,030";"499,000"
9-3-2023 15:39:30;"21,261";"26,038";" 1,047";"499,000"
9-3-2023 15:39:45;"21,261";"26,038";" 1,047";"499,000"
9-3-2023 15:40:00;"21,261";"26,056";" 1,057";"499,000"
9-3-2023 15:40:15;"21,241";"26,056";" 1,040";"499,000"
9-3-2023 15:40:30;"21,241";"26,056";" 1,040";"499,000"
9-3-2023 15:40:45;"21,241";"26,056";" 1,040";"499,000"
9-3-2023 15:41:00;"21,261";"26,056";" 1,057";"499,000"
9-3-2023 15:41:15;"21,241";"26,038";" 1,030";"509,000"
9-3-2023 15:41:30;"21,241";"26,056";" 1,040";"509,000"
9-3-2023 15:41:45;"21,230";"26,056";" 1,057";"509,000"
9-3-2023 15:42:00;"21,241";"26,056";" 1,040";"509,000"
9-3-2023 15:42:15;"21,230";"26,038";" 1,022";"509,000"
9-3-2023 15:42:30;"21,230";"26,038";" 1,022";"509,000"
9-3-2023 15:42:45;"21,230";"26,019";" 1,012";"509,000"
9-3-2023 15:43:00;"21,230";"26,056";" 1,032";"509,000"
9-3-2023 15:43:15;"21,241";"26,056";" 1,040";"503,000"
9-3-2023 15:43:30;"21,241";"26,056";" 1,040";"503,000"
9-3-2023 15:43:45;"21,230";"26,099";" 1,054";"503,000"
9-3-2023 15:44:00;"21,230";"26,099";" 1,054";"503,000"
9-3-2023 15:44:15;"21,230";"26,099";" 1,041";"503,000"
9-3-2023 15:44:30;"21,230";"26,074";" 1,041";"503,000"
9-3-2023 15:44:45;"21,220";"26,056";" 1,023";"503,000"
9-3-2023 15:45:00;"21,220";"26,099";" 1,046";"503,000"
9-3-2023 15:45:15;"21,220";"26,099";" 1,046";"511,000"
9-3-2023 15:45:30;"21,220";"26,099";" 1,046";"511,000"
9-3-2023 15:45:45;"21,230";"26,135";" 1,074";"511,000"
9-3-2023 15:46:00;"21,220";"26,117";" 1,055";"511,000"
9-3-2023 15:46:15;"21,200";"26,117";" 1,055";"511,000"
9-3-2023 15:46:30;"21,220";"26,099";" 1,046";"511,000"
9-3-2023 15:46:45;"21,200";"26,117";" 1,038";"511,000"
9-3-2023 15:47:00;"21,200";"26,117";" 1,038";"511,000"
9-3-2023 15:47:15;"21,200";"26,099";" 1,029";"484,000"
